gene_name,gmcsf_1,gmcsf_2,gmcsf_3,gmcsf_4,gmcsf_5,gmcsf_6,mcf7_1,mcf7_2,mcf7_3,mcf7_4,mcf7_5,mcf7_6,mda231_1,mda231_2,mda231_3,mda231_4,mda231_5,mda231_6,t47d_1,t47d_2,t47d_3,t47d_4,t47d_5,t47d_6,uivc1_1,uivc1_2,uivc1_3,uivc1_4,uivc1_5,uivc1_6,uivc4_1,uivc4_2,uivc4_3,uivc4_4,uivc4_5,uivc4_6
HPSE,1.469572,1.402186,1.398806,1.375319,1.648854,1.644849,2.533868,2.570793,3.031365,2.488311,2.810938,2.66891,4.458204,4.17522,3.952721,4.125777,4.401177,4.390109,2.541857,2.544369,2.386785,2.608369,2.23694,2.386698,4.950519,4.892629,5.26367,4.730639,5.175977,4.93403,6.225767,6.145012,5.572596,6.99466,5.993457,6.011164
HRH1,2.917803,0,0,3.241784,0,0,2.422096,0,3.147238,0,2.578628,0,0,0.028496,0,0,0,0,0,0,2.755113,0,4.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
HS1BP3,16.340919,16.146255,16.286407,16.587439,16.476192,14.36342,14.704319,13.98925,13.834864,13.920815,13.26191,12.895706,12.720667,13.369945,13.474848,12.266024,13.520949,12.225151,13.710493,14.701854,13.85441,13.646783,13.054503,13.61989,12.659347,13.639066,13.313455,14.3366,13.766128,13.859868,14.028249,13.97175,13.036285,11.356022,12.648388,13.608111
HS2ST1,16.812777,15.911715,14.923158,17.00316,16.760626,17.28793,10.644608,10.881392,11.086998,10.29259,9.563588,9.104889,9.69328,8.671197,8.671013,8.721173,8.440319,10.202613,11.268307,11.368754,12.185308,11.782908,12.133702,10.612178,10.786415,12.231774,11.263639,10.659878,10.804867,13.904576,9.633588,10.231812,11.816833,12.935335,10.746719,9.556811
HS6ST1,4.452206,17.227467,17.320932,13.902467,15.269182,15.960259,11.092317,10.730675,9.690228,11.333019,11.901466,10.276856,9.145628,9.525562,9.385449,9.690544,9.308959,10.033236,13.30264,12.834462,11.901173,12.411161,12.414982,11.547071,0.877228,9.145097,9.847025,9.806721,9.190674,9.394989,7.462612,8.28863,7.73252,7.453045,8.214449,8.004277
HSBP1,3.425056,3.669389,3.611181,3.391948,3.661341,3.707535,3.725255,3.685166,3.819762,4.0863,3.55731,3.596664,3.385724,3.502145,3.226109,3.111905,3.420322,3.285957,3.915521,3.874999,4.077174,3.950549,4.231575,4.030464,4.495304,4.024856,4.383884,4.403314,4.20955,4.693361,4.077028,4.18728,4.938406,5.061848,4.302723,4.146324
HSCB,2.073165,3.0669325,2.254367,1.753289,1.3228215,1.5430315,1.4486345,0.8293965,2.9614125,1.5492105,2.2671255,2.243127,1.969533,1.5450525,2.2715805,1.9459375,1.276416,2.619196,1.8308375,2.8745475,1.6943765,1.972278,3.045929,1.6713155,2.0323825,2.103793,2.102033,2.5686795,2.252777,2.0602805,1.695848,1.939093,1.7520795,1.6122595,1.6406905,2.0565825
HSD11B1,43.380917,44.229866,42.659359,40.765114,45.701248,44.072441,8.657913,9.433946,8.512528,9.041888,10.284145,9.749633,13.133282,11.553554,13.902768,11.843533,12.307653,13.046552,10.018366,9.616426,10.962656,10.34466,8.981805,8.848413,10.819495,10.770429,8.529509,8.864421,9.758986,9.693412,6.367407,6.807513,6.527809,6.282658,7.481654,6.371715
HSD17B10,6.361147,6.413104,6.333394,5.627771667,4.992044333,5.96318,7.380025667,6.948276667,7.168252667,6.796436333,6.505593,5.762393,5.157447,5.562441667,5.947628333,5.787298333,6.267398333,5.863464333,7.348993333,7.873530667,7.042792333,7.435935,6.787629333,7.024024333,6.701692,7.566813,6.848247667,8.178874,8.007248,6.447501,6.423923333,6.07433,6.844634333,5.723419,6.189477667,5.411313667
HSD17B11,19.313316,18.1791305,18.9626475,18.735265,19.533898,19.886085,17.993992,17.915454,17.897753,18.1172485,17.040459,17.6870345,19.171138,18.8971865,16.296518,17.277958,17.9565305,18.741884,17.992541,18.087002,19.323034,18.041958,18.4146895,18.962183,20.8758275,19.5704585,18.557459,17.1585465,17.4593295,20.0356265,20.7414175,20.6713085,23.5375285,23.3378415,22.193817,21.398775
HSD17B12,19.46195525,18.84380025,19.00893225,19.16239125,20.15471475,19.96785475,14.04005225,13.58841125,8.4023355,14.36018725,13.93598125,14.24936275,11.46769975,12.227987,11.04206025,11.442897,11.8662245,11.84043575,14.22311275,13.6780055,7.901543,14.59586075,12.4661745,14.91652825,18.252582,16.74102275,17.13775425,15.2661515,15.543775,17.0462735,12.53959725,13.1267045,14.57648325,14.94601975,13.3958635,12.6916735
HSD17B14,19.047085,19.459059,20.525982,18.790951,18.266659,17.551085,17.886368,17.997471,19.084291,16.674728,17.545765,17.887308,19.164948,20.128317,22.039175,21.952379,19.077566,20.728355,20.140533,15.572552,16.223263,14.931836,16.844152,17.764681,16.501457,18.726067,18.03347,18.483358,17.021982,14.739812,18.329226,15.459277,18.620516,17.503298,19.839172,16.368448
HSD17B4,3.621189308,3.836567769,4.353093923,4.347867077,3.577178462,4.954834615,3.116457615,3.031713462,4.273127308,4.070254,4.036970615,2.856474846,2.805444,3.783702462,3.373983231,4.011546154,3.429998538,2.935082769,2.908332231,3.943289462,4.405424692,2.981087769,3.981263769,3.283306462,2.843054462,4.284414154,3.314257231,4.442773231,3.114532308,4.161065,2.668094769,2.936265077,2.808172692,3.451398154,4.216115385,4.095170538
HSD17B7,9.159356,8.69522,9.535034,10.250813,9.634658,9.807342,5.363711,5.558488,4.862865,5.256477,5.533434,6.01413,4.322719,4.405559,4.744752,4.10712,4.666535,4.737806,5.934693,5.346134,7.130514,7.627451,7.309201,6.827894,9.731417,9.350898,9.059096,8.571206,8.734715,9.316797,7.225596,6.800369,7.594528,7.082432,7.104516,6.689179
HSDL2,8.272763,8.842417,9.359962,8.892545,9.414692,9.815485,6.335848,6.281468,6.66327,6.783866,6.146061,6.880515,7.88059,7.990455,7.80858,7.643324,8.180546,7.767169,6.606477,6.480938,6.816303,6.477545,7.105555,7.463396,6.770926,6.026746,6.881886,6.261613,6.161834,7.222515,7.649545,7.023618,7.814749,9.269083,7.923481,7.732521
HSF1,6.4943565,7.055535,7.395621,5.6831125,6.2057135,4.680022,7.129927,4.8080455,5.7419515,6.379933,9.869402,7.404084,3.811521,4.8034765,4.500862,5.354423,6.251891,4.546829,5.7802775,5.926217,6.0298025,6.0449375,6.3602815,5.793676,3.8635985,6.184435,6.734425,6.904203,4.997718,5.4652845,3.031418,3.446617,5.1610795,4.60043,6.1414255,4.7670355
HSP90AA1,119.947332,119.7952137,122.172545,122.034586,126.6544597,131.021291,97.29118267,97.42652133,101.9084987,102.302022,102.768751,103.9633647,71.52685167,73.44528067,71.30570933,70.462552,67.84348733,69.369359,101.4639537,101.9079673,103.5755217,103.3704263,99.942427,100.4166193,105.1214017,100.8594957,100.088924,100.175515,100.264891,106.7874717,78.341106,78.54509333,83.28884867,83.97330267,78.37634033,78.892476
HSP90AB1,84.2472045,84.1044765,84.21754925,85.125657,88.40814925,88.487616,80.167496,80.189823,83.210696,83.03982975,76.15449125,75.98412,52.41168175,53.48453475,51.41965725,52.710921,50.5531585,50.59308075,82.01365125,83.35038875,84.60195975,83.355702,80.1549235,79.68410475,80.201957,80.3677825,79.33979875,79.44509775,78.997753,80.0967515,58.2267485,58.2747145,55.62581475,55.14836525,54.552379,54.3616615
HSP90B1,10.71001144,2.179223063,9.092456,9.945263188,4.2360645,9.351390688,2.651786063,4.24137825,2.804311813,3.229725813,11.10591825,5.098306125,3.04960125,1.971629875,3.7618025,8.68647725,9.425424125,9.340683063,9.528476438,9.619882,3.919132063,3.425885188,11.41943938,9.681316063,3.171102,12.57783588,11.52578538,3.758812563,2.661274313,13.05024806,4.422420313,5.296409125,11.49179563,11.92185531,12.44642856,5.809101938
HSPA13,9.757341,8.975651,9.143684,8.97199,9.553409,9.707898,9.537237,9.611106,8.756677,9.265797,8.842257,8.596331,9.71371,9.936005,8.214268,8.356759,9.691582,9.309933,9.675219,9.258536,10.474937,10.426826,11.02389,10.328489,12.92825,11.925549,11.659129,10.919902,10.65057,12.497244,11.124185,10.717484,13.184924,13.316923,11.505779,11.69706
HSPA14,9.279174,10.200315,9.625216,10.266133,11.79091,10.801779,8.522725,7.876325,9.318213,8.341155,10.160501,10.901459,6.669047,7.282967,6.2715,6.898136,6.281858,7.577791,5.830271,8.512729,9.636898,9.82964,9.38924,9.009942,10.156403,9.563902,9.829676,9.057737,9.734392,9.861218,8.288314,7.693451,8.054034,7.566052,7.76539,7.507143
HSPA1A,12.0399155,10.756072,7.724954,7.2859035,11.1286615,5.9573965,10.368713,13.7761295,6.4183005,10.190942,7.0190415,6.502611,11.3564205,10.8426205,17.9622925,14.2775815,18.109594,13.026743,6.229933,8.718801,12.2222625,12.3530815,7.7740205,7.0836625,11.122937,6.0956515,6.967421,7.9001295,9.026935,11.7231225,14.977122,11.167285,11.634323,12.829193,9.3418325,15.519564
HSPA1B,16.59864,11.579574,16.341497,16.469843,15.297927,15.472415,22.243404,22.760143,21.964928,18.195091,21.661644,21.090765,18.454365,24.75532,26.635254,19.820183,26.111441,19.458647,20.556461,20.596554,18.872025,19.109013,14.626645,14.834365,16.790062,12.737866,12.645293,18.046888,14.203337,16.951632,17.950508,16.577917,14.382361,14.865073,16.572781,21.773333
HSPA4,54.913986,53.194679,51.944901,53.405579,54.312157,54.778233,45.66914,45.382599,47.205494,46.053585,44.445911,44.639736,37.414192,37.792446,36.382256,36.785027,35.535854,35.746109,45.301167,44.888241,44.735744,45.539764,47.648636,48.035374,50.417755,49.325478,49.541237,47.157963,46.802742,48.465305,37.896313,37.050289,40.817684,41.389484,39.612385,38.936264
HSPA5,13.26129742,13.19436358,13.5538785,13.61010558,13.85384975,13.97802667,16.38496825,16.329568,16.63076008,17.03410067,16.39134033,16.49102592,13.64201958,13.64235367,13.40675533,13.58964617,13.28501558,13.28796267,15.05553267,15.16526933,15.21189692,15.62728958,15.40199908,15.2857925,18.64457933,18.06048742,18.35253575,17.71139,18.23178225,18.69111383,16.65084442,16.68805375,16.890964,17.04367133,16.43825083,16.60746717
HSPA8,76.51656345,77.18288273,73.40846127,76.60134027,79.53178245,80.23442064,56.17540682,52.217435,56.38508,54.74962555,56.30316509,54.62837218,42.59726791,41.89810673,41.147224,40.64628436,41.04364682,40.02527445,57.10131482,55.328429,57.76923327,58.006977,53.98891109,52.22104809,64.64952282,60.61994464,62.36349155,65.22191891,58.95509409,64.37704,47.83701309,46.00010773,47.86465618,48.80431009,48.455762,48.30369082
HSPA9,8.104847643,7.055959071,7.488314071,7.466453143,7.97078,8.399785214,6.547140714,6.671860143,6.805334571,6.488722714,6.605514286,7.281124,5.4237015,5.368356,5.144676,4.638428857,4.633341,4.685178286,6.901960786,6.588626571,6.141706357,5.795329714,6.243991143,6.632330214,7.2263345,6.328850571,7.307057929,6.439177786,6.627238571,6.885821214,5.136706286,4.857094929,5.021775286,5.164904929,5.440624071,5.327864929
HSPB1,8.569444667,8.980327,8.726318,8.714589667,7.143604,7.943695,11.781692,11.29727033,9.428702,9.951775333,22.32756033,23.851997,4.738184,5.712117667,7.165928333,7.244512,6.756041333,6.350243,10.42761033,9.297394667,9.322779667,9.510189333,11.21591033,11.75602267,6.445229333,7.414794333,6.821828,8.460978333,8.268414333,6.344425,4.945373,4.866021333,6.303645,6.332368333,5.480991,6.282236667
HSPB11,7.617767,5.148465,8.634891,6.992145,8.238007,7.415304,5.518757,5.220027,6.868034,7.580639,9.540716,9.441434,6.090588,7.375782,5.998242,6.188355,5.263071,6.184443,6.045275,7.930673,7.825066,6.127355,7.171383,6.506557,8.204945,7.610544,8.412662,9.014575,7.290179,8.486404,5.480431,6.942349,6.794028,5.815064,6.369014,10.561007
HSPBP1,0.748478,2.2503845,2.666322,2.412499,0.974308,1.1358155,1.9766175,2.935836,2.855025,0.9534695,1.5381335,2.0255525,1.1814835,0.6187465,1.0128915,1.633236,2.0912435,1.9480345,0.9838265,3.218081,1.0714835,0.72386,2.4821355,2.9624705,1.741751,2.872248,2.3070455,2.599115,1.845685,0.3596975,1.391131,1.233175,1.3923895,1.7404605,1.9211115,1.766194
